"","RNAi","protein","exon","exon_cluster","Rep4","Rep5","average.z"
"245","FBgn0001215..Hrb98DE.","Hrb98DE","6.01",6,2.31718612666525,2.47360118891456,2.3953936577899
"247","FBgn0001215..Hrb98DE.","Hrb98DE","6.03",6,-3.37434176349782,-2.48605377300779,-2.93019776825281
"287","FBgn0001215..Hrb98DE.","Hrb98DE","6.46",6,5.32572629577347,6.31220402513323,5.81896516045335
"288","FBgn0001215..Hrb98DE.","Hrb98DE","6.47",6,-2.1480454809912,-2.28853073359175,-2.21828810729148
"313","FBgn0001491..l.1.10Bb.","l.1.10Bb","4.01",4,-2.42903733805985,-2.03139413130843,-2.23021573468414
"323","FBgn0001491..l.1.10Bb.","l.1.10Bb","4.12",4,5.28203909267665,3.59788783192949,4.43996346230307
"1142","FBgn0003261..Rm62.","Rm62","4.02",4,3.65769386734757,2.3341758682623,2.99593486780493
"1147","FBgn0003261..Rm62.","Rm62","4.07",4,3.9130923879836,5.64551067783259,4.77930153290809
"1148","FBgn0003261..Rm62.","Rm62","4.08",4,2.03696108591663,2.29058377394555,2.16377242993109
"1171","FBgn0003261..Rm62.","Rm62","6.20",6,2.30437329796647,2.8107841754195,2.55757873669299
"1172","FBgn0003261..Rm62.","Rm62","6.21",6,2.50600455999973,2.51519842736139,2.51060149368056
"1200","FBgn0003261..Rm62.","Rm62","9.09",9,-2.3574182100358,-2.58326431976396,-2.47034126489988
"1202","FBgn0003261..Rm62.","Rm62","9.15",9,5.0913445354951,9.98797697331431,7.53966075440471
"1203","FBgn0003261..Rm62.","Rm62","9.22",9,8.93810390030024,13.1907046551017,11.064404277701
"1204","FBgn0003261..Rm62.","Rm62","9.25",9,12.3702362755924,16.8091314076168,14.5896838416046
"1207","FBgn0003261..Rm62.","Rm62","9.skip",9,2.79516424393973,2.58760173873515,2.69138299133744
"1525","FBgn0004227..nonA.","nonA","9.22",9,2.27803511225092,4.25376689368718,3.26590100296905
"1546","FBgn0004237..Hrb87F.","Hrb87F","6.03",6,-2.98046420559922,-2.54803047450425,-2.76424734005173
"1586","FBgn0004237..Hrb87F.","Hrb87F","6.46",6,9.28643215759421,8.67091315334441,8.97867265546931
"1588","FBgn0004237..Hrb87F.","Hrb87F","6.48",6,2.6140966506517,2.57887625609006,2.59648645337088
"1598","FBgn0004237..Hrb87F.","Hrb87F","9.skip",9,2.88276804816253,2.12239472705137,2.50258138760695
"1741","FBgn0004587..B52.","B52","4.03",4,-2.71909316607734,-2.80774526453776,-2.76341921530755
"1742","FBgn0004587..B52.","B52","4.04",4,-3.92147953322683,-3.93549022647415,-3.92848487985049
"1743","FBgn0004587..B52.","B52","4.05",4,-3.48583533960029,-2.9833456722829,-3.2345905059416
"1745","FBgn0004587..B52.","B52","4.07",4,-3.34490251863824,-3.47495669391851,-3.40992960627838
"1747","FBgn0004587..B52.","B52","4.10",4,3.94847628319083,4.57401236985271,4.26124432652177
"1748","FBgn0004587..B52.","B52","4.11",4,3.21254410072178,2.05937917468663,2.6359616377042
"1751","FBgn0004587..B52.","B52","6.01",6,2.38026795981992,2.60481133080312,2.49253964531152
"1758","FBgn0004587..B52.","B52","6.08",6,-2.28224893555957,-2.49137758520044,-2.38681326038
"1770","FBgn0004587..B52.","B52","6.21",6,-2.17622305325595,-2.69906210024685,-2.4376425767514
"1794","FBgn0004587..B52.","B52","6.47",6,3.89748520303346,2.51178810748051,3.20463665525698
"1797","FBgn0004587..B52.","B52","9.06",9,-2.17543898893511,-2.27901412641876,-2.22722655767693
"1798","FBgn0004587..B52.","B52","9.09",9,5.81092520108965,5.91296700228137,5.86194610168551
"1799","FBgn0004587..B52.","B52","9.13",9,-4.17135018318345,-3.16870499144275,-3.6700275873131
"1804","FBgn0004587..B52.","B52","9.31",9,-3.33058202373154,-3.18026972587346,-3.2554258748025
"1808","FBgn0004856..Bx42.","Bx42","4.01",4,-4.7305072232538,-4.29816465644714,-4.51433593985047
"1810","FBgn0004856..Bx42.","Bx42","4.03",4,-2.39713521466185,-2.25630317322742,-2.32671919394464
"1811","FBgn0004856..Bx42.","Bx42","4.04",4,-2.59363820544526,-2.66222050247116,-2.62792935395821
"1813","FBgn0004856..Bx42.","Bx42","4.06",4,5.82352029920708,4.75095407707533,5.28723718814121
"1815","FBgn0004856..Bx42.","Bx42","4.08",4,7.82075130954845,5.76046377067576,6.79060754011211
"1816","FBgn0004856..Bx42.","Bx42","4.10",4,6.25605016770346,5.2422120747341,5.74913112121878
"1817","FBgn0004856..Bx42.","Bx42","4.11",4,4.70160729229773,3.56462260668797,4.13311494949285
"1836","FBgn0004856..Bx42.","Bx42","6.18",6,-4.33993483572509,-2.57980409553445,-3.45986946562977
"1839","FBgn0004856..Bx42.","Bx42","6.21",6,-2.93446576789711,-2.68318811806153,-2.80882694297932
"1843","FBgn0004856..Bx42.","Bx42","6.25",6,3.83269251310807,3.02247249797048,3.42758250553928
"1852","FBgn0004856..Bx42.","Bx42","6.34",6,-2.1324781210583,-2.22029806649699,-2.17638809377764
"1856","FBgn0004856..Bx42.","Bx42","6.38",6,2.88390002788561,2.00461515388905,2.44425759088733
"1858","FBgn0004856..Bx42.","Bx42","6.42",6,2.11697486137851,3.04698369748341,2.58197927943096
"1859","FBgn0004856..Bx42.","Bx42","6.43",6,4.6741173218108,3.27172344257381,3.97292038219231
"1861","FBgn0004856..Bx42.","Bx42","6.45",6,3.16561726689089,3.88076774401603,3.52319250545346
"1863","FBgn0004856..Bx42.","Bx42","6.47",6,2.79298463393347,3.70064666404965,3.24681564899156
"1866","FBgn0004856..Bx42.","Bx42","9.06",9,-3.64454992488561,-4.11208765373437,-3.87831878930999
"1867","FBgn0004856..Bx42.","Bx42","9.09",9,5.55015148241349,7.19338218511218,6.37176683376284
"1868","FBgn0004856..Bx42.","Bx42","9.13",9,-2.86011576185905,-3.1909396208608,-3.02552769135993
"1873","FBgn0004856..Bx42.","Bx42","9.31",9,-2.02057959518181,-2.44889349195214,-2.23473654356698
"1874","FBgn0004856..Bx42.","Bx42","9.skip",9,3.52914549581802,3.13396494369244,3.33155521975523
"1875","FBgn0004856..Bx42.","Bx42","17.01",17,-4.36913851534464,-3.36145810401335,-3.865298309679
"1876","FBgn0004856..Bx42.","Bx42","17.02",17,4.36913851534464,3.36145810401335,3.865298309679
"1880","FBgn0005411..U2af50.","U2af50","4.04",4,7.08397764637836,7.71309464540809,7.39853614589322
"1887","FBgn0005411..U2af50.","U2af50","4.12",4,-2.33900642120321,-2.31752014997998,-2.3282632855916
"1930","FBgn0005411..U2af50.","U2af50","6.45",6,5.08203828824953,4.19631083098445,4.63917455961699
"1932","FBgn0005411..U2af50.","U2af50","6.47",6,2.44605632948652,3.07594638077067,2.7610013551286
"1940","FBgn0005411..U2af50.","U2af50","9.25",9,4.53164114279481,3.42852561539856,3.98008337909669
"1941","FBgn0005411..U2af50.","U2af50","9.30",9,9.34634477951823,7.97193927402053,8.65914202676938
"1942","FBgn0005411..U2af50.","U2af50","9.31",9,3.99169047172338,4.11837535387673,4.05503291280005
"1944","FBgn0005411..U2af50.","U2af50","17.01",17,-4.46348262965123,-2.71126770903728,-3.58737516934425
"1945","FBgn0005411..U2af50.","U2af50","17.02",17,4.46348262965123,2.71126770903728,3.58737516934425
"1959","FBgn0005649..Rox8.","Rox8","4.03",4,-3.10423899545752,-2.77318249862375,-2.93871074704064
"2022","FBgn0005649..Rox8.","Rox8","9.31",9,2.13379595321102,2.79782407160355,2.46581001240729
"2386","FBgn0011571..caz.","caz","6.02",6,2.63913341288058,2.21049685419059,2.42481513353558
"2581","FBgn0011666..msi.","msi","4.02",4,7.35991810190941,9.15340469373831,8.25666139782386
"2584","FBgn0011666..msi.","msi","4.05",4,3.88245666512423,6.29564112213641,5.08904889363032
"2585","FBgn0011666..msi.","msi","4.06",4,2.99637813818622,3.62062795340396,3.30850304579509
"2985","FBgn0014189..Hel25E.","Hel25E","4.01",4,-3.13854173596872,-2.44939176808808,-2.7939667520284
"2988","FBgn0014189..Hel25E.","Hel25E","4.04",4,-2.21544725373112,-2.22097414797427,-2.2182107008527
"2992","FBgn0014189..Hel25E.","Hel25E","4.08",4,5.28248610621858,3.9692159357342,4.62585102097639
"2993","FBgn0014189..Hel25E.","Hel25E","4.10",4,3.00697665596574,4.14626361522391,3.57662013559483
"2994","FBgn0014189..Hel25E.","Hel25E","4.11",4,4.72659114604392,3.42744586287683,4.07701850446037
"3393","FBgn0015818..Spx.","Spx","6.16",6,-2.10313714939773,-2.46491798289026,-2.28402756614399
"3427","FBgn0015818..Spx.","Spx","9.13",9,2.28005813996097,3.94790739591524,3.11398276793811
"3431","FBgn0015818..Spx.","Spx","9.30",9,2.75554948262563,5.35467888390196,4.05511418326379
"3439","FBgn0015907..bl.","bl","4.04",4,-2.93965545001567,-3.40931318378817,-3.17448431690192
"3444","FBgn0015907..bl.","bl","4.10",4,8.93084589270536,10.1660839247542,9.54846490872978
"3471","FBgn0015907..bl.","bl","6.25",6,3.07726195759909,5.51581799298409,4.29653997529159
"3498","FBgn0015907..bl.","bl","9.22",9,-2.33734417208511,-2.17106659232189,-2.2542053822035
