"","RNAi","library_RNAi_reads.sum","library"
"1","FBgn0038464..CG16941.",16673,"Exon 4
(Rep4)"
"14","FBgn0034834..LS2.",17590,"Exon 4
(Rep4)"
"27","FBgn0035424..CG11505.",18145,"Exon 4
(Rep4)"
"40","FBgn0263594..lost.",18902,"Exon 4
(Rep4)"
"53","FBgn0011224..heph.",16886,"Exon 4
(Rep4)"
"66","FBgn0001986..l.2.35Df.",18335,"Exon 4
(Rep4)"
"79","FBgn0003435..sm.",15915,"Exon 4
(Rep4)"
"92","FBgn0260010..rump.",17567,"Exon 4
(Rep4)"
"105","FBgn0026083..tyf.",17916,"Exon 4
(Rep4)"
"118","FBgn0032620..CG12288.",15495,"Exon 4
(Rep4)"
"131","FBgn0038796..CG10881.",15722,"Exon 4
(Rep4)"
"144","FBgn0031631..CG3225.",15413,"Exon 4
(Rep4)"
"157","FBgn0031062..CG14230.",15751,"Exon 4
(Rep4)"
"170","FBgn0086675..fne.",21262,"Exon 4
(Rep4)"
"183","FBgn0263352..Unr.",21413,"Exon 4
(Rep4)"
"196","FBgn0011206..bol.",17220,"Exon 4
(Rep4)"
"209","FBgn0038256..CG7530.",16343,"Exon 4
(Rep4)"
"222","FBgn0040290..RecQ4.",16487,"Exon 4
(Rep4)"
"235","FBgn0262109..CR42862.",15664,"Exon 4
(Rep4)"
"248","FBgn0037716..CG8273.",20085,"Exon 4
(Rep4)"
"261","FBgn0039117..tst.",15302,"Exon 4
(Rep4)"
"274","FBgn0039883..RhoGAP100F.",18143,"Exon 4
(Rep4)"
"287","FBgn0033378..tsu.",15624,"Exon 4
(Rep4)"
"300","FBgn0036754..CG5589.",10380,"Exon 4
(Rep4)"
"313","FBgn0034745..CG4329.",16697,"Exon 4
(Rep4)"
"326","FBgn0086895..pea.",22732,"Exon 4
(Rep4)"
"339","FBgn0029979..CG10777.",21815,"Exon 4
(Rep4)"
"352","FBgn0030479..Rbp1.like.",22070,"Exon 4
(Rep4)"
"365","FBgn0027571..CG3523.",19884,"Exon 4
(Rep4)"
"378","FBgn0001565..Hlc.",22415,"Exon 4
(Rep4)"
"391","FBgn0015520..nonA.l.",18732,"Exon 4
(Rep4)"
"404","FBgn0027602..CG8611.",21841,"Exon 4
(Rep4)"
"417","FBgn0052533..CG32533.",17273,"Exon 4
(Rep4)"
"430","FBgn0038445..CG14891.",16226,"Exon 4
(Rep4)"
"443","FBgn0084784..Dcr.1.",20001,"Exon 4
(Rep4)"
"456","FBgn0005649..Rox8.",20954,"Exon 4
(Rep4)"
"469","FBgn0038345..CG5213.",21949,"Exon 4
(Rep4)"
"482","FBgn0035872..CG7185.",24209,"Exon 4
(Rep4)"
"495","FBgn0036702..CG6512.",22492,"Exon 4
(Rep4)"
"508","FBgn0052423..shep.",19956,"Exon 4
(Rep4)"
"521","FBgn0037213..CG12581.",21109,"Exon 4
(Rep4)"
"534","FBgn0030321..CG1703.",23689,"Exon 4
(Rep4)"
"547","FBgn0038344..CG5205.",19253,"Exon 4
(Rep4)"
"560","FBgn0004419..me31B.",23344,"Exon 4
(Rep4)"
"573","FBgn0031883..CG11266.",17581,"Exon 4
(Rep4)"
"586","FBgn0053113..Rtnl1.",16098,"Exon 4
(Rep4)"
"599","FBgn0030855..CG5800.",19143,"Exon 4
(Rep4)"
"612","FBgn0030085..CG6999.",18259,"Exon 4
(Rep4)"
"625","FBgn0038826..Syp.",21082,"Exon 4
(Rep4)"
"638","FBgn0033842..cbc.",23191,"Exon 4
(Rep4)"
"651","FBgn0265192..Snp.",20268,"Exon 4
(Rep4)"
"664","FBgn0000114..aret.",17664,"Exon 4
(Rep4)"
"677","FBgn0022361..Pur.alpha.",21384,"Exon 4
(Rep4)"
"690","FBgn0010263..Rbp9.",16828,"Exon 4
(Rep4)"
"703","FBgn0259139..glo.",16920,"Exon 4
(Rep4)"
"716","FBgn0032515..loqs.",17409,"Exon 4
(Rep4)"
"729","FBgn0030833..CG8915.",18902,"Exon 4
(Rep4)"
"742","FBgn0003638..su.w.a...",17455,"Exon 4
(Rep4)"
"755","FBgn0051716..Cnot4.",16122,"Exon 4
(Rep4)"
"768","FBgn0037220..CG14641.",17289,"Exon 4
(Rep4)"
"781","FBgn0036838..CG3808.",16689,"Exon 4
(Rep4)"
"794","FBgn0033169..CG11123.",17371,"Exon 4
(Rep4)"
"807","FBgn0032194..CG4901.",16486,"Exon 4
(Rep4)"
"820","FBgn0052296..Mrtf.",12978,"Exon 4
(Rep4)"
"833","FBgn0027841..CstF.64.",13079,"Exon 4
(Rep4)"
"846","FBgn0261618..larp.",12670,"Exon 4
(Rep4)"
"859","FBgn0015949..hrg.",13151,"Exon 4
(Rep4)"
"872","FBgn0262734..Rbp2.",22845,"Exon 4
(Rep4)"
"885","FBgn0035016..CG4612.",18732,"Exon 4
(Rep4)"
"898","FBgn0030660..CG8097.",19690,"Exon 4
(Rep4)"
"911","FBgn0021895..ytr.",16075,"Exon 4
(Rep4)"
"924","FBgn0038889..CG7922.",16286,"Exon 4
(Rep4)"
"937","FBgn0026722..drosha.",22348,"Exon 4
(Rep4)"
"950","FBgn0035969..CG4476.",17335,"Exon 4
(Rep4)"
"963","FBgn0002899..mus301.",16223,"Exon 4
(Rep4)"
"976","FBgn0027617..CG5808.",15314,"Exon 4
(Rep4)"
"989","FBgn0030571..CG14414.",22357,"Exon 4
(Rep4)"
"1002","FBgn0264307..orb2.",22036,"Exon 4
(Rep4)"
"1015","FBgn0037081..barc.",21819,"Exon 4
(Rep4)"
"1028","FBgn0037707..RnpS1.",23567,"Exon 4
(Rep4)"
"1041","FBgn0030246..CG1582.",20571,"Exon 4
(Rep4)"
"1054","FBgn0022787..Hel89B.",17968,"Exon 4
(Rep4)"
"1067","FBgn0035720..CG10077.",11440,"Exon 4
(Rep4)"
"1080","FBgn0042146..CG18823.",116,"Exon 4
(Rep4)"
"1093","FBgn0086613..Ino80.",122,"Exon 4
(Rep4)"
"1106","FBgn0030956..CG18259.",16184,"Exon 4
(Rep4)"
"1119","FBgn0030487..CG12726.",22268,"Exon 4
(Rep4)"
"1132","FBgn0039229..Saf.B.",24684,"Exon 4
(Rep4)"
"1145","FBgn0039659..CG14506.",18814,"Exon 4
(Rep4)"
"1158","FBgn0025790..TBPH.",23519,"Exon 4
(Rep4)"
"1171","FBgn0023441..fus.",20324,"Exon 4
(Rep4)"
"1184","FBgn0016977..spen.",25783,"Exon 4
(Rep4)"
"1197","FBgn0036104..CG6418.",20663,"Exon 4
(Rep4)"
"1210","FBgn0024183..vig.",26449,"Exon 4
(Rep4)"
"1223","FBgn0030554..CG1434.",22474,"Exon 4
(Rep4)"
"1236","FBgn0064115..CG33649.",8053,"Exon 4
(Rep4)"
"1249","FBgn0261609..eIF.2alpha.",18652,"Exon 4
(Rep4)"
"1262","FBgn0263599..l.3.72Ab.",24618,"Exon 4
(Rep4)"
"1275","FBgn0027548..nito.",22247,"Exon 4
(Rep4)"
"1288","FBgn0261451..trol.",14858,"Exon 4
(Rep4)"
"1301","FBgn0036451..CG9425.",19302,"Exon 4
(Rep4)"
"1314","FBgn0036018..CG3335.",18547,"Exon 4
(Rep4)"
"1327","FBgn0031935..CG13793.",20156,"Exon 4
(Rep4)"
"1340","FBgn0030631..CG6227.",15237,"Exon 4
(Rep4)"
"1353","FBgn0020306..dom.",16838,"Exon 4
(Rep4)"
"1366","FBgn0011824..CG4038.",20601,"Exon 4
(Rep4)"
"1379","FBgn0003261..Rm62.",18430,"Exon 4
(Rep4)"
"1392","FBgn0262735..Imp.",13752,"Exon 4
(Rep4)"
"1405","FBgn0032919..CG9253.",16182,"Exon 4
(Rep4)"
"1418","FBgn0086130..KH1.",17074,"Exon 4
(Rep4)"
"1431","FBgn0032264..Lip4.",17451,"Exon 4
(Rep4)"
"1444","FBgn0015778..rin.",19976,"Exon 4
(Rep4)"
"1457","FBgn0052062..A2bp1.",20462,"Exon 4
(Rep4)"
"1470","FBgn0039730..CG7903.",20381,"Exon 4
(Rep4)"
"1483","FBgn0029629..CG8636.",20889,"Exon 4
(Rep4)"
"1496","FBgn0086902..kis.",20557,"Exon 4
(Rep4)"
"1509","FBgn0029880..CG14443.",19069,"Exon 4
(Rep4)"
"1522","FBgn0029798..CG4078.",21709,"Exon 4
(Rep4)"
"1535","FBgn0002780..mod.",18703,"Exon 4
(Rep4)"
"1548","FBgn0002526..LanA.",13661,"Exon 4
(Rep4)"
"1561","FBgn0037602..CG8021.",14779,"Exon 4
(Rep4)"
"1574","FBgn0031655..Marcal1.",15248,"Exon 4
(Rep4)"
"1587","FBgn0036496..CG7804.",25739,"Exon 4
(Rep4)"
"1600","FBgn0037248..Spargel.",25700,"Exon 4
(Rep4)"
"1613","FBgn0052364..CG32364.",20331,"Exon 4
(Rep4)"
"1626","FBgn0085391..CG34362.",23720,"Exon 4
(Rep4)"
"1639","FBgn0028577..pUf68.",22123,"Exon 4
(Rep4)"
"1652","FBgn0034246..Dcr.2.",26091,"Exon 4
(Rep4)"
"1665","FBgn0261552..ps.",20340,"Exon 4
(Rep4)"
"1678","FBgn0036828..CG6841.",24780,"Exon 4
(Rep4)"
"1691","FBgn0250786..Chd1.",23271,"Exon 4
(Rep4)"
"1704","FBgn0035571..CG12493.",19416,"Exon 4
(Rep4)"
"1717","FBgn0086444..l.2.37Cb.",12379,"Exon 4
(Rep4)"
"1730","FBgn0265185..CG44250.",19775,"Exon 4
(Rep4)"
"1743","FBgn0034237..eIF3.S9.",21031,"Exon 4
(Rep4)"
"1756","FBgn0031208..CG11023.",20964,"Exon 4
(Rep4)"
"1769","FBgn0000556..Ef1alpha48D.",17484,"Exon 4
(Rep4)"
"1782","FBgn0261067..LSm1.",20423,"Exon 4
(Rep4)"
"1795","FBgn0022987..qkr54B.",17332,"Exon 4
(Rep4)"
"1808","FBgn0067996..Dyak.bel.",17541,"Exon 4
(Rep4)"
"1821","FBgn0263396..sqd.",16388,"Exon 4
(Rep4)"
"1834","FBgn0039861..pasha.",15919,"Exon 4
(Rep4)"
"1847","FBgn0021872..Xbp1.",20986,"Exon 4
(Rep4)"
"1860","FBgn0035370..CG1240.",20366,"Exon 4
(Rep4)"
"1873","FBgn0035526..CG1316.",21288,"Exon 4
(Rep4)"
"1886","FBgn0004237..Hrb87F.",17922,"Exon 4
(Rep4)"
"1899","FBgn0015075..Ddx1.",22655,"Exon 4
(Rep4)"
"1912","FBgn0264491..how.",17502,"Exon 4
(Rep4)"
"1925","FBgn0051184..LSm3.",21982,"Exon 4
(Rep4)"
"1938","FBgn0034496..CG9143.",15742,"Exon 4
(Rep4)"
"1951","FBgn0022984..qkr58E.3.",13586,"Exon 4
(Rep4)"
"1964","FBgn0002622..RpS3.",16039,"Exon 4
(Rep4)"
"1977","FBgn0037573..eIF4AIII.",18444,"Exon 4
(Rep4)"
"1990","FBgn0028474..CG4119.",21049,"Exon 4
(Rep4)"
"2003","FBgn0085383..CG34354.",19790,"Exon 4
(Rep4)"
"2016","FBgn0039821..CG15556.",18624,"Exon 4
(Rep4)"
"2029","FBgn0037342..CG2931.",19316,"Exon 4
(Rep4)"
"2042","FBgn0035692..CG13298.",20907,"Exon 4
(Rep4)"
"2055","FBgn0032690..CG10333.",15227,"Exon 4
(Rep4)"
"2068","FBgn0026713..l.1.G0007.",20686,"Exon 4
(Rep4)"
"2081","FBgn0042111..CG18766.",17605,"Exon 4
(Rep4)"
"2094","FBgn0001215..Hrb98DE.",16056,"Exon 4
(Rep4)"
"2107","FBgn0014870..Psi.",15176,"Exon 4
(Rep4)"
"2120","FBgn0011666..msi.",20669,"Exon 4
(Rep4)"
"2133","FBgn0031224..CG11454.",19363,"Exon 4
(Rep4)"
"2146","FBgn0035235..CG7879.",20134,"Exon 4
(Rep4)"
"2159","FBgn0030959..CG6961.",20939,"Exon 4
(Rep4)"
"2172","FBgn0260456..CG4806.",19148,"Exon 4
(Rep4)"
"2185","FBgn0037531..CG10445.",20232,"Exon 4
(Rep4)"
"2198","FBgn0031939..CG13796.",17724,"Exon 4
(Rep4)"
"2211","FBgn0026086..Adar.",20175,"Exon 4
(Rep4)"
"2224","FBgn0014024..Rnp4F.",15358,"Exon 4
(Rep4)"
"2237","FBgn0003346..RanGAP.",18521,"Exon 4
(Rep4)"
"2250","FBgn0023395..Chd3.",17106,"Exon 4
(Rep4)"
"2263","FBgn0085443..spri.",20816,"Exon 4
(Rep4)"
"2276","FBgn0261800..LanB1.",19945,"Exon 4
(Rep4)"
"2289","FBgn0039920..CG11360.",18463,"Exon 4
(Rep4)"
"2302","FBgn0031401..papi.",21390,"Exon 4
(Rep4)"
"2315","FBgn0002774..mle.",19935,"Exon 4
(Rep4)"
"2328","FBgn0025571..SF1.",24703,"Exon 4
(Rep4)"
"2341","FBgn0024698..Cpsf160.",22745,"Exon 4
(Rep4)"
"2354","FBgn0032157..Etl1.",25565,"Exon 4
(Rep4)"
"2367","FBgn0265298..SC35.",26422,"Exon 4
(Rep4)"
"2380","FBgn0259220..Doa.",25598,"Exon 4
(Rep4)"
"2393","FBgn0036850..Gem2.",25366,"Exon 4
(Rep4)"
"2406","FBgn0027873..Cpsf100.",16010,"Exon 4
(Rep4)"
"2419","FBgn0033475..CG12129.",19592,"Exon 4
(Rep4)"
"2432","FBgn0001942..eIF.4a.",19903,"Exon 4
(Rep4)"
"2445","FBgn0004556..Dbp73D.",18774,"Exon 4
(Rep4)"
"2458","FBgn0034976..CG4049.",14644,"Exon 4
(Rep4)"
"2471","FBgn0022985..qkr58E.2.",18476,"Exon 4
(Rep4)"
